id;nome;logotipo;logotipo_content_type;fundacao;fundador;numero;dimensao;sede;tipo_vinculo;unidade_pagadora;tipo_instalacao;provincia;municipio;bairro;rua;quarteirao;numero_porta
1;Georgia;../fake-data/blob/hipster.png;image/png;2020-01-25;Ergonomic Soft Fish;application;Licensed Steel Salad;false;Stand-alone;Zloty Producer Squares;Refined;technologies Kroon;24/7 e-services;customer loyalty;Sports Savings Account virtual;reboot Tri;New Mexico
2;Wooden deposit program;../fake-data/blob/hipster.png;image/png;2020-01-25;Arkansas HDD;Dominican Peso;portal Accounts neural;true;hard drive Cotton;Multi-channelled aggregate transmitting;Gorgeous SCSI Credit Card Account;Borders;AI Integration Persistent;Sleek Granite Bike deposit;Awesome Rubber Gloves PNG;users Futu;protocol
3;Ville;../fake-data/blob/hipster.png;image/png;2020-01-26;leading-edge Iowa transmitter;yellow microchip Virtual;engineer Saint Kitts and Nevis Assimilated;true;Forward Beauty;Focused Accounts Practical;grey Island Awesome;sensor Texas engineer;systemic Metal GB;Product Direct Cordoba Oro;Specialist Usability;synthesize;Applicatio
4;Keyboard;../fake-data/blob/hipster.png;image/png;2020-01-26;24/7 Cambridgeshire SCSI;didactic Oval Silver;Fantastic Fresh Principal;true;Direct Legacy protocol;Plains Engineer quantify;deposit;Chips;technologies;interface Games;Indiana markets;compressin;Agent calc
5;Branding;../fake-data/blob/hipster.png;image/png;2020-01-26;RSS District;Nevada gold;Croatian Kuna;true;Shoes Cheese;compelling grow Gorgeous;pink Unbranded;synergies well-modulated;Russian Federation;neural Fantastic;Music copy zero administration;portals Ha;dedicated 
6;withdrawal American Samoa Analyst;../fake-data/blob/hipster.png;image/png;2020-01-25;Cheese extranet Public-key;Beauty methodologies;Down-sized compress;false;strategic B2C grey;task-force;Vermont Cotton Gorgeous Fresh Fish;navigating;grid-enabled mobile;supply-chains Decentralized;pixel white Executive;matrix Reg;Savings Ac
7;24/7 Senior deliver;../fake-data/blob/hipster.png;image/png;2020-01-26;Shoes Bermuda;functionalities optical grey;overriding quantifying Pa'anga;true;Orchestrator;Industrial deposit;International;Zimbabwe Dollar Internal whiteboard;Checking Account;Riel standardization;withdrawal PNG Cheese;infomediar;parsing na
8;Fields Michigan De-engineered;../fake-data/blob/hipster.png;image/png;2020-01-26;Branding Montana Chief;attitude withdrawal Expressway;Minnesota next generation granular;true;database sensor;bandwidth;indexing withdrawal;Coordinator;Hat;European Unit of Account 9(E.U.A.-9);Liaison Refined Devolved;Ergonomic;knowledge 
9;Creative;../fake-data/blob/hipster.png;image/png;2020-01-26;Configurable Bahamian Dollar Producer;Streamlined;Fantastic Refined Wooden Towels Bike;true;Representative;Practical Bolivia;View;PNG;interfaces payment parsing;Identity 1080p program;turquoise;HTTP;deposit Ut
10;West Virginia revolutionary;../fake-data/blob/hipster.png;image/png;2020-01-25;parsing Persistent;Centralized;Paradigm bypass Specialist;false;Gorgeous;quantify Reunion;innovate;Togo strategize;User-friendly SQL Congolese Franc;back up;Minnesota bypass infrastructures;payment So;input
